,score,phase,subject,round,block1,block2,block3,dim1,dim2,dim3,dim4,X,dim1_choice_value,dim1_category,Y,dim2_choice_value,dim2_category,Z,dim3_choice_value,dim3_category,T,dim4_choice_value,dim4_category
26,91.0,P2-only,oct1803,2,"[2231, 1311, 3121]","[1222, 2112, 3332]","[2323, 1133, 3213]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
27,74.0,P2-only,oct1803,3,"[2131, 3311, 2322]","[3232, 1112, 1221]","[1333, 2213, 3123]","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 3, 3, 1, 2, 2, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",12.222000000000001,22.963,122,348.148,58.889,223,14.443999999999999,25.185,122,223.33300000000003,34.074,111
28,75.0,P2-only,oct1803,4,"[2231, 1311, 3121]","[3333, 3212, 2322]","[2113, 1132, 1223]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",20.0,30.741,122,357.778,68.519,223,20.0,30.741,122,223.33300000000003,34.074,111
29,92.0,P2-only,oct1803,5,"[2131, 3311, 1221]","[1332, 1113, 3122]","[2323, 3233, 2212]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,357.778,68.519,223,25.185000000000002,35.926,122,223.33300000000003,34.074,111
30,83.0,P2-only,oct1803,6,"[1131, 3211, 2321]","[2232, 2113, 1223]","[1312, 3333, 3122]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,356.29600000000005,67.037,223,24.814999999999998,35.556,122,223.33300000000003,34.074,111
31,77.0,P2-only,oct1803,7,"[1331, 1113, 3121]","[2132, 2211, 2323]","[3312, 3233, 1222]","(1, 1, 3, 2, 2, 2, 1, 3, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",335.92600000000004,46.667,223,36.296,47.037,122,36.296,47.037,122,223.33300000000003,34.074,111
32,88.0,P2-only,oct1803,8,"[1131, 3211, 2321]","[3332, 1313, 1222]","[2233, 3123, 2112]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,357.778,68.519,223,20.0,30.741,122,223.33300000000003,34.074,111
33,92.0,P2-only,oct1803,9,"[1331, 2211, 3121]","[3232, 1112, 1223]","[3313, 2322, 2133]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,357.778,68.519,223,24.814999999999998,35.556,122,223.33300000000003,34.074,111
34,55.0,P2-only,oct1803,10,"[3331, 2111, 3123]","[1132, 3212, 1221]","[2233, 2322, 1313]","(2, 3, 3, 1, 1, 3, 1, 2, 2)","(1, 1, 3, 1, 2, 2, 2, 3, 3)","(1, 1, 3, 1, 2, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",101.852,12.593,222,137.778,48.519,222,137.778,48.519,222,223.33300000000003,34.074,111
35,83.0,P2-only,oct1803,11,"[3231, 1111, 2321]","[2133, 2212, 1223]","[3313, 1332, 3122]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,356.29600000000005,67.037,223,24.814999999999998,35.556,122,223.33300000000003,34.074,111
36,76.0,P2-only,oct1803,12,"[3331, 2111, 1221]","[2232, 3213, 2323]","[3122, 1312, 1133]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",21.481,32.222,122,356.29600000000005,67.037,223,21.481,32.222,122,223.33300000000003,34.074,111
37,86.0,P2-only,oct1803,13,"[1332, 2311, 1121]","[3231, 3112, 3323]","[1213, 2133, 2222]","(1, 1, 2, 3, 3, 3, 1, 2, 2)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 3, 3, 1, 2, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",341.85200000000003,52.593,223,46.666,57.407,122,12.963000000000001,23.704,122,223.33300000000003,34.074,111
38,91.0,P2-only,oct1803,14,"[1231, 1312, 3321]","[3132, 2111, 1123]","[2333, 3213, 2222]","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(2, 3, 3, 1, 1, 1, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",36.296,47.037,122,46.666,57.407,122,305.185,15.926,223,223.33300000000003,34.074,111
39,81.0,P2-only,oct1803,15,"[1131, 2311, 3221]","[2232, 3112, 2123]","[1322, 1213, 3333]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",21.481,32.222,122,357.778,68.519,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111
40,90.0,P2-only,oct1803,16,"[1231, 3311, 2121]","[3132, 2212, 1322]","[3223, 2333, 1113]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
41,90.0,P2-only,oct1803,17,"[1131, 2311, 3221]","[3332, 1212, 2122]","[1323, 3113, 2233]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
42,90.0,P2-only,oct1803,18,"[3131, 2211, 1321]","[1232, 3312, 2122]","[3223, 2333, 1113]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
43,56.0,P2-only,oct1803,19,"[3331, 1132, 2233]","[1211, 2312, 3113]","[1323, 3222, 2121]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333
44,54.0,P2-only,oct1803,20,"[2332, 1321, 3313]","[1233, 3222, 2211]","[1112, 2123, 3131]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 2, 2, 2, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,389.259,0.0,333,223.33300000000003,34.074,111
45,78.0,P2-only,oct1803,21,"[2121, 3331, 1211]","[2232, 3112, 2313]","[1322, 1133, 3223]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)",21.481,32.222,122,357.778,68.519,223,223.33300000000003,34.074,111,25.185000000000002,35.926,122
46,80.0,P2-only,oct1803,22,"[3221, 1111, 2331]","[3132, 2212, 2123]","[3313, 1233, 1322]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",21.481,32.222,122,357.778,68.519,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111
47,78.0,P2-only,oct1803,23,"[1321, 3111, 2231]","[3332, 1212, 3223]","[2313, 1133, 2122]","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",21.852000000000004,32.593,122,357.778,68.519,223,21.481,32.222,122,223.33300000000003,34.074,111
48,90.0,P2-only,oct1803,24,"[2331, 3221, 1111]","[1232, 3312, 1323]","[2122, 2213, 3133]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,357.778,68.519,223,20.0,30.741,122,223.33300000000003,34.074,111
49,89.0,P2-only,oct1803,25,"[1321, 2231, 3111]","[1132, 2312, 2123]","[3333, 3222, 1213]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,357.778,68.519,223,25.185000000000002,35.926,122,223.33300000000003,34.074,111
50,96.0,P2-only,oct1803,26,"[3311, 1231, 2121]","[2332, 1112, 1323]","[2213, 3222, 3133]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",26.665999999999997,37.407,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
51,84.0,P2-only,oct1803,27,"[1331, 2221, 3111]","[2312, 3323, 1122]","[2133, 1213, 3232]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",223.33300000000003,34.074,111,357.778,68.519,223,21.852000000000004,32.593,122,24.814999999999998,35.556,122
52,95.0,P2-only,oct1803,28,"[1231, 2111, 3321]","[2332, 1313, 1122]","[3133, 2223, 3212]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",26.665999999999997,37.407,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
53,79.0,P2-only,oct1803,29,"[1331, 2221, 3111]","[2132, 3322, 2313]","[3233, 1123, 1212]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",21.481,32.222,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
54,89.0,P2-only,oct1803,30,"[3211, 1121, 2331]","[3322, 1232, 1313]","[3133, 2223, 2112]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,357.778,68.519,223,20.0,30.741,122,223.33300000000003,34.074,111
55,91.0,P2-only,oct1803,31,"[1211, 2131, 3321]","[1332, 2313, 1123]","[2222, 3233, 3112]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",26.665999999999997,37.407,122,356.29600000000005,67.037,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
56,63.0,P2-only,oct1803,32,"[1233, 3211, 2222]","[1312, 1121, 3323]","[2113, 3132, 2331]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 1, 3, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",25.185000000000002,35.926,122,223.33300000000003,34.074,111,319.259,30.0,223,24.814999999999998,35.556,122
57,94.0,P2-only,oct1803,33,"[2131, 1211, 3321]","[2312, 1122, 1333]","[3113, 2223, 3232]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",26.665999999999997,37.407,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
58,80.0,P2-only,oct1803,34,"[2221, 3131, 1233]","[1311, 1122, 2332]","[2113, 3323, 3212]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 3, 1, 2, 2, 2, 3, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(2, 3, 3, 1, 2, 3, 1, 1, 2)",26.665999999999997,37.407,122,137.778,48.519,222,32.222,42.963,122,0.0,10.741,122
59,87.0,P2-only,oct1803,35,"[1212, 2311, 3231]","[1121, 1333, 2132]","[3113, 3322, 2223]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 1, 3, 2, 3, 3, 1, 2, 2)",26.665999999999997,37.407,122,46.666,57.407,122,12.222000000000001,22.963,122,132.963,43.704,222
60,71.0,P2-only,oct1803,36,"[2221, 3322, 3131]","[1232, 1123, 1311]","[2112, 2333, 3213]","(2, 3, 3, 1, 1, 1, 2, 2, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 2, 3, 1, 1, 3)",305.185,15.926,223,46.666,57.407,122,223.33300000000003,34.074,111,10.370000000000001,21.111,122
61,76.0,P2-only,oct1803,37,"[3131, 1221, 2232]","[3322, 2311, 1333]","[1112, 2123, 3213]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 2, 2, 3, 3, 3, 1, 1, 2)","(2, 3, 3, 1, 2, 3, 1, 1, 2)",223.33300000000003,34.074,111,46.666,57.407,122,328.889,39.63,223,0.0,10.741,122
